scientific_name,marker,notes
Allocyttus niger,12SV5,"Recovered 2026-09-03. Present in May 2026 build (AP004435.1) but absent from Aug 2026; valid amplicon confirmed"
Alosa pseudoharengus,12SV5,"Recovered 2026-09-03. Present in May 2026 build (AP009132.1) but absent from Aug 2026; valid amplicon confirmed"
Alosa alosa,12SV5,"Recovered 2026-09-03. Part of the documented '39 unexplained' set; valid amplicon confirmed (NC_009575.1)"
Gasterochisma melampus,12SV5,"Recovered 2026-09-03. Chunk-truncation bug (chunked with Gallus gallus, 723 combined hits > 500 fetch cap)"
Piaractus brachypomus,12SV5,"Recovered 2026-09-03. Present in May 2026 build but absent from Aug 2026; valid amplicon confirmed"
Prosopium cylindraceum,12SV5,"Recovered 2026-09-03. Present in May 2026 build but absent from Aug 2026; valid amplicon confirmed"
Reinhardtius hippoglossoides,12SV5,"Recovered 2026-09-03. Present in May 2026 build but absent from Aug 2026; valid amplicon confirmed"
Strongylura exilis,12SV5,"Recovered 2026-09-03. Chunk-truncation bug (chunked with Sus scrofa, 1790 combined hits > 500 fetch cap)"
Acanthurus gahhm,12SV5,"NOT recovered after 2 passes (chunked + solo query) despite a confirmed valid amplicon at KU244257.1 - still unexplained"
Aetobatus narinari,12SV5,"Recovered 2026-09-03. Part of the documented '39 unexplained' set; valid amplicon confirmed"
Ammodytes americanus,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Argentina sphyraena,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Caelorinchus fasciatus,12SV5,"Recovered 2026-09-03 as Coelorinchus fasciatus (current NCBI name)"
Caliraja stellulata,12SV5,"Recovered 2026-09-03. July 2026 candidate (was Raja stellulata); chunk-truncation bug, 791 combined hits > 500 fetch cap"
Catla catla,12SV5,"Recovered 2026-09-03 as Labeo catla (current NCBI name)"
Dentex dentex,12SV5,"Recovered 2026-09-03. Part of the documented '39 unexplained' set; chunk-truncation bug, 1215 combined hits > 500 fetch cap"
Dicentrarchus punctatus,12SV5,"Recovered 2026-09-03. Part of the documented '39 unexplained' set; valid amplicon confirmed"
Embassichthys bathybius,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Epinephelus niveatus,12SV5,"Recovered 2026-09-03 as Hyporthodus niveatus (current NCBI name)"
Equus asinus africanus,12SV5,"Recovered 2026-09-03. July 2026 candidate; chunk-truncation bug, 690 combined hits > 500 fetch cap"
Esox americanus americanus,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Esox americanus vermiculatus,12SV5,"Already present in the Aug 2026 build; no action needed"
Gibelion catla,12SV5,"Recovered 2026-09-03 as Labeo catla (current NCBI name, synonym of Catla catla)"
Girella nigricans,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Glyptocephalus cynoglossus,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Ilisha africana,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Kyphosus azureus,12SV5,"Recovered 2026-09-03. July 2026 candidate (was Hermosilla azurea); valid amplicon confirmed"
Kyphosus sectator,12SV5,"Recovered 2026-09-03 as Kyphosus sectatrix (current NCBI name)"
Leucoraja erinaceus,12SV5,"Recovered 2026-09-03. July 2026 candidate (was Leucoraja erinacea); valid amplicon confirmed"
Liza grandisquamis,12SV5,"Recovered 2026-09-03 as Parachelon grandisquamis (current NCBI name)"
Lutjanus guttatus,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Medialuna californiensis,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Mobula thurstoni,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Myliobatis californica,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Myzopsetta ferruginea,12SV5,"Recovered 2026-09-03. July 2026 candidate (was Limanda ferruginea); valid amplicon confirmed"
Myzopsetta proboscidea,12SV5,"Recovered 2026-09-03. July 2026 candidate (was Limanda proboscidea); valid amplicon confirmed"
Narcine brasiliensis,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Osmerus mordax dentex,12SV5,"Already present in the Aug 2026 build; no action needed"
Otolithoides pama,12SV5,"Recovered 2026-09-03 as Pama pama (current NCBI name); chunk-truncation bug, 1886 combined hits > 500 fetch cap"
Pangasius gigas,12SV5,"Recovered 2026-09-03 as Pangasianodon gigas (current NCBI name)"
Pangasius sanitwongsei,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Pantosteus columbianus,12SV5,"Recovered 2026-09-03. July 2026 candidate (was Catostomus columbianus); valid amplicon confirmed"
Pellona ditchela,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Plectorhinchus lineatus,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Polyprion oxygeneios,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Psettodes belcheri,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Sardinella brasiliensis,12SV5,"Recovered 2026-09-03. July 2026 candidate (was Sardinella janeiro); valid amplicon confirmed"
Saurida elongata,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Scomberomorus sierra,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Sebastes carnatus,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Urophycis brasiliensis,12SV5,"Recovered 2026-09-03. July 2026 candidate; valid amplicon confirmed"
Zenopsis conchifer,12SV5,"Recovered 2026-09-03. July 2026 candidate (was Zenopsis conchifera); valid amplicon confirmed"
