scientific_name,common_name,source,total_12S_hits,vert_12S_hits,is_vertebrate
Sardinops melanostictus,pilchard,"FDA The Seafood List, 2023/07/21",451,451,TRUE
Trionyx sinensis,chinese softshell turtle,FAO Cultured Aquatic Species Fact Sheets,127,127,TRUE
Hexagrammos octogrammus,greenling,"FDA The Seafood List, 2023/07/21",47,47,TRUE
Rana catesbeiana,american bull frog,FAO Cultured Aquatic Species Fact Sheets,31,31,TRUE
Pomatomus saltatrix,bluefish,NOAA Fisheries,26,26,TRUE
Manta birostris,manta,"FDA The Seafood List, 2023/07/21",21,21,TRUE
Lutjanus johnii,snapper,"FDA The Seafood List, 2023/07/21",19,19,TRUE
Archosargus probatocephalus,sheepshead,SJ,18,18,TRUE
Raja eglanteria,skate,"FDA The Seafood List, 2023/07/21",18,18,TRUE
Mullus barbatus,mullet,"FDA The Seafood List, 2023/07/21",17,17,TRUE
Myxine glutinosa,hagfish,"FDA The Seafood List, 2023/07/21",17,17,TRUE
Ctenopharyngodon idellus,grass carp,FAO Cultured Aquatic Species Fact Sheets,14,14,TRUE
Merluccius paradoxus,deep-water cape hake,SJ,14,14,TRUE
Scardinius erythrophthalmus,carp,"FDA The Seafood List, 2023/07/21",14,14,TRUE
Genypterus capensis,kingklip,SJ,13,13,TRUE
Kyphosus sectator,chub,"FDA The Seafood List, 2023/07/21",13,13,TRUE
Leucoraja erinacea,skate,"FDA The Seafood List, 2023/07/21",12,12,TRUE
Acanthopagrus berda,porgy,"FDA The Seafood List, 2023/07/21",12,12,TRUE
Austroglossus microlepis,sole,"FDA The Seafood List, 2023/07/21",11,11,TRUE
Carcharhinus porosus,shark,"FDA The Seafood List, 2023/07/21",11,11,TRUE
Catla catla,catla,FAO Cultured Aquatic Species Fact Sheets,11,11,TRUE
Gibelion catla,catla,"FDA The Seafood List, 2023/07/21",11,11,TRUE
Myliobatis freminvillii,bullnose ray,"FDA The Seafood List, 2023/07/21",11,11,TRUE
Brama brama,pomfret,"FDA The Seafood List, 2023/07/21",10,10,TRUE
