requested_name,current_name,renamed,status,reason,n_trnL_records_queried,n_complete_plastomes,on_food_list,genus_in_ref,phylum
Abutilon indicum,Abutilon indicum,FALSE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Acacia senegal,Senegalia senegal,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Allium porrum,Allium ampeloprasum,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Aquilegia caerulea,Aquilegia coerulea,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Argania spinosa,Sideroxylon spinosum,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Baccaurea edulis,Baccaurea edulis,FALSE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Baccaurea macrocarpa,Baccaurea macrocarpa,FALSE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Baccaurea motleyana,Baccaurea motleyana,FALSE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Brachiaria deflexa,Urochloa deflexa,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Carica pubescens,Vasconcellea cundinamarcensis,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Carica x heilbornii,Vasconcellea x heilbornii,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Carissa congesta,Carissa spinarum,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Cheilocostus speciosus,Hellenia speciosa,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Chenopodium bonus-henricus,Blitum bonus-henricus,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Chenopodium capitatum,Blitum capitatum,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Chenopodium foliosum,Blitum virgatum,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Chrysanthemum morifolium,Chrysanthemum x morifolium,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Cichorium endivia,Cichorium endivia,FALSE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Cinnamomum cassia,Neolitsea cassia,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Citrus aurantiifolia,Citrus x aurantiifolia,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Citrus aurantium,Citrus x aurantium,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Citrus latifolia,Citrus x latifolia,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Citrus limon,Citrus x limon,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Citrus paradisi,Citrus x paradisi,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Citrus x limonia,Citrus limonia,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Citrus x taitensis,Citrus jambhiri,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Cleome gynandra,Gynandropsis gynandra,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Coix lachryma-jobi,Coix lacryma-jobi,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Curcuma zanthorrhiza,Curcuma xanthorrhiza,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Cyphomandra betacea,Solanum betaceum,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Dialium indum,Dialium indum,FALSE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Dianthus barbatus,Dianthus barbatus,FALSE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Dioscorea cayennensis,Dioscorea cayenensis,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Durio dulcis,Durio dulcis,FALSE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Erioglossum rubiginosum,Lepisanthes rubiginosa,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
Feronia limonia,Limonia acidissima,TRUE,closed by the Aug 2026 build,added,NA,NA,TRUE,TRUE,NA
