scientific_name,marker,ncbi_hits,n_words,rank_type
Baccaurea macrocarpa,trnL,57,2,species-level (binomial)
Vaccinium oxycoccos,trnL,50,2,species-level (binomial)
Chrysanthemum morifolium,trnL,48,2,species-level (binomial)
Wasabia japonica,trnL,47,2,species-level (binomial)
Laminaria japonica,trnL,39,2,species-level (binomial)
Allium porrum,trnL,35,2,species-level (binomial)
Dioscorea cayennensis,trnL,32,2,species-level (binomial)
Poncirus trifoliata,trnL,32,2,species-level (binomial)
Lycianthes moziniana,trnL,31,2,species-level (binomial)
Citrus limon,trnL,29,2,species-level (binomial)
Acacia senegal,trnL,27,2,species-level (binomial)
Dioscorea rotundata,trnL,22,2,species-level (binomial)
Citrus paradisi,trnL,19,2,species-level (binomial)
Cinnamomum cassia,trnL,18,2,species-level (binomial)
Citrus aurantium,trnL,18,2,species-level (binomial)
Thymus herba-barona,trnL,17,2,species-level (binomial)
Baccaurea motleyana,trnL,15,2,species-level (binomial)
Citrus unshiu,trnL,15,2,species-level (binomial)
Pennisetum glaucum,trnL,15,2,species-level (binomial)
Polystichum munitum,trnL,15,2,species-level (binomial)
Coix lachryma-jobi,trnL,13,2,species-level (binomial)
Acer ginnala,trnL,12,2,species-level (binomial)
Pueraria montana var. lobata,trnL,10,4,species-level (binomial)
Carissa congesta,trnL,9,2,species-level (binomial)
Cleome gynandra,trnL,9,2,species-level (binomial)
Fragaria ananassa,trnL,9,2,species-level (binomial)
Citrus x limonia,trnL,8,3,species-level (binomial)
Nephelium cuspidatum,trnL,8,2,species-level (binomial)
Spondias cytherea,trnL,8,2,species-level (binomial)
Brachiaria deflexa,trnL,7,2,species-level (binomial)
Iris x germanica,trnL,7,3,species-level (binomial)
Merrillia caloxylon,trnL,7,2,species-level (binomial)
Morinda officinalis,trnL,7,2,species-level (binomial)
Salsola komarovii,trnL,7,2,species-level (binomial)
Yucca gigantea,trnL,7,2,species-level (binomial)
Allium ledebourianum,trnL,6,2,species-level (binomial)
Aloysia triphylla,trnL,6,2,species-level (binomial)
Baccaurea edulis,trnL,6,2,species-level (binomial)
Opuntia monacantha,trnL,6,2,species-level (binomial)
Opuntia undulata,trnL,6,2,species-level (binomial)
Physalis alkekengi,trnL,6,2,species-level (binomial)
Pseudocydonia sinensis,trnL,6,2,species-level (binomial)
Pyropia yezoensis,trnL,6,2,species-level (binomial)
Rosa x hybrida,trnL,6,3,species-level (binomial)
Sida rhombifolia,trnL,6,2,species-level (binomial)
Alpinia malaccensis,trnL,5,2,species-level (binomial)
Citrus aurantiifolia,trnL,5,2,species-level (binomial)
