scientific_name,common_name,source,total_12S_hits,vert_12S_hits,is_vertebrate
Bombyx mori,silkworm,SJ,1176,0,FALSE
Pollicipes pollicipes,barnacle,"FDA The Seafood List, 2023/07/21",328,0,FALSE
Apis mellifera,honeybee,JL,218,0,FALSE
Bathynomus giganteus,isopod,"FDA The Seafood List, 2023/07/21",205,0,FALSE
Penaeus monodon,black tiger shrimp,BP,125,0,FALSE
Panulirus cygnus,western rock lobster,"Newton, ""The Oldest Foods on Earth""",54,0,FALSE
Panulirus japonicus,spiny lobster,"FDA The Seafood List, 2023/07/21",50,0,FALSE
Ruditapes philippinarum,japanese carpet shell,FAO Cultured Aquatic Species Fact Sheets,47,0,FALSE
Venerupis philippinarum,japanese littleneck,BP,47,0,FALSE
Euastacus armatus,crawfish,"FDA The Seafood List, 2023/07/21",45,0,FALSE
Panulirus penicillatus,spiny lobster,"FDA The Seafood List, 2023/07/21",45,0,FALSE
Haliotis gigantea,abalone,"FDA The Seafood List, 2023/07/21",40,0,FALSE
Mytilus galloprovincialis,mussel,"FDA The Seafood List, 2023/07/21",34,0,FALSE
Callinectes sapidus,atlantic blue crab,BP,33,0,FALSE
Litopenaeus vannamei,whiteleg shrimp,BP,32,0,FALSE
Penaeus vannamei,whiteleg shrimp,FAO Cultured Aquatic Species Fact Sheets,32,0,FALSE
Apis cerana,eastern honey bee,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",28,0,FALSE
Farfantepenaeus brasiliensis,shrimp,"FDA The Seafood List, 2023/07/21",27,0,FALSE
Farfantepenaeus duorarum,northern pink shrimp,SJ,26,0,FALSE
Schistocerca gregaria,desert locust,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",22,0,FALSE
Amphioctopus fangsiao,webfoot octopus,SJ,21,0,FALSE
Portunus pelagicus,flower crab,SJ,21,0,FALSE
Scylla paramamosain,swimming crab,"FDA The Seafood List, 2023/07/21",21,0,FALSE
Apostichopus japonicus,japanese sea cucumber,FAO Cultured Aquatic Species Fact Sheets,19,0,FALSE
Amusium pleuronectes,scallop,"FDA The Seafood List, 2023/07/21",18,0,FALSE
Ostrea edulis,european flat oyster,FAO Cultured Aquatic Species Fact Sheets,18,0,FALSE
Ensis siliqua,razor clam,"FDA The Seafood List, 2023/07/21",17,0,FALSE
Scylla serrata,indo-pacific swamp crab,FAO Cultured Aquatic Species Fact Sheets,17,0,FALSE
Fenneropenaeus indicus,indian prawn,SJ,16,0,FALSE
Penaeus indicus,indian white prawn,FAO Cultured Aquatic Species Fact Sheets,16,0,FALSE
Ensis arcuatus,razor clam,"FDA The Seafood List, 2023/07/21",13,0,FALSE
Crassostrea gigas,pacific cupped oyster,BP,12,0,FALSE
Eriocheir sinensis,chinese mitten crab,FAO Cultured Aquatic Species Fact Sheets,12,0,FALSE
Helix pomatia,escargot,BP,12,0,FALSE
Macrobrachium rosenbergii,giant river prawn,FAO Cultured Aquatic Species Fact Sheets,12,0,FALSE
Magallana gigas,pacific cupped oyster,FAO Cultured Aquatic Species Fact Sheets,12,0,FALSE
Mytilus edulis,blue mussel,BP,12,0,FALSE
Sthenoteuthis oualaniensis,squid,"FDA The Seafood List, 2023/07/21",12,0,FALSE
