species,marker,list,source_status,n_raw,n_amplicons,amplicon_yield,secs
Bos grunniens,12S,phase2-uncatalogued,confirmed,494,451,TRUE,6.4
Camelus bactrianus,12S,phase2-uncatalogued,confirmed,155,127,TRUE,3.5
Camelus dromedarius,12S,phase2-uncatalogued,confirmed,152,118,TRUE,3.4
Lepus europaeus,12S,phase2-uncatalogued,confirmed (source names 'hare' at genus level),139,115,TRUE,3.7
Meleagris gallopavo,12S,phase2-uncatalogued,confirmed,116,99,TRUE,3.2
Bos indicus,12S,phase2-uncatalogued,UNSOURCED - also a curation question (often treated as a B. taurus subspecies),68,48,TRUE,3.1
Cervus elaphus,12S,phase2-uncatalogued,confirmed,240,40,TRUE,3.6
Cervus nippon,12S,phase2-uncatalogued,UNSOURCED,44,31,TRUE,3
Columba livia,12S,phase2-uncatalogued,confirmed,44,27,TRUE,2.8
Capreolus capreolus,12S,phase2-uncatalogued,confirmed,40,25,TRUE,2.7
Dama dama,12S,phase2-uncatalogued,confirmed,57,24,TRUE,2.8
Syncerus caffer,12S,phase2-uncatalogued,confirmed,48,20,TRUE,3.1
Salicornia europaea,trnL,phase2-uncatalogued,confirmed,28,18,TRUE,2.5
Oryctolagus cuniculus,12S,phase2-uncatalogued,confirmed,42,13,TRUE,2.9
Phasianus colchicus,12S,phase2-uncatalogued,confirmed,17,12,TRUE,2.6
Hydrochoerus hydrochaeris,12S,phase2-uncatalogued,confirmed,9,8,TRUE,2.5
Lithobates catesbeianus,12S,phase2-uncatalogued,confirmed (matches existing source vocabulary),29,8,TRUE,2.5
Perdix perdix,12S,phase2-uncatalogued,UNSOURCED,8,8,TRUE,2.6
Numida meleagris,12S,phase2-uncatalogued,confirmed,11,7,TRUE,2.5
Struthio camelus,12S,phase2-uncatalogued,confirmed,19,7,TRUE,2.6
Crocodylus niloticus,12S,phase2-uncatalogued,confirmed,38,7,TRUE,2.8
Muntiacus reevesi,12S,phase2-uncatalogued,UNSOURCED,19,7,TRUE,2.8
Bos frontalis,12S,phase2-uncatalogued,confirmed,9,6,TRUE,2.8
Bos javanicus,12S,phase2-uncatalogued,confirmed,25,6,TRUE,2.7
Vicugna pacos,12S,phase2-uncatalogued,confirmed,16,5,TRUE,2.7
Bison bonasus,12S,phase2-uncatalogued,UNSOURCED,10,5,TRUE,2.7
Capra ibex,12S,phase2-uncatalogued,UNSOURCED,7,5,TRUE,2.7
Myocastor coypus,12S,phase2-uncatalogued,confirmed,8,4,TRUE,2.5
Rhea americana,12S,phase2-uncatalogued,confirmed,15,4,TRUE,2.4
Phacochoerus africanus,12S,phase2-uncatalogued,confirmed,25,4,TRUE,3
Odocoileus hemionus,12S,phase2-uncatalogued,UNSOURCED,4,4,TRUE,2.6
Lama glama,12S,phase2-uncatalogued,confirmed,4,3,TRUE,2.9
Lama guanicoe,12S,phase2-uncatalogued,confirmed,9,3,TRUE,2.7
Ovis canadensis,12S,phase2-uncatalogued,UNSOURCED,23,3,TRUE,2.6
Ovibos moschatus,12S,phase2-uncatalogued,UNSOURCED,6,3,TRUE,2.4
Thryonomys swinderianus,12S,phase2-uncatalogued,confirmed,195,2,TRUE,3.4
Lepus americanus,12S,phase2-uncatalogued,UNSOURCED,6,2,TRUE,2.5
Telfairia occidentalis,trnL,phase2-uncatalogued,confirmed (PROTA),1,1,TRUE,2.4
Allium porrum,trnL,plant-candidate,on-list,35,31,TRUE,3.4
Baccaurea macrocarpa,trnL,plant-candidate,on-list,57,28,TRUE,3.1
Vaccinium oxycoccos,trnL,plant-candidate,on-list,50,25,TRUE,3.7
Poncirus trifoliata,trnL,plant-candidate,on-list,32,16,TRUE,3.1
Citrus limon,trnL,plant-candidate,on-list,29,14,TRUE,2.5
Pennisetum glaucum,trnL,plant-candidate,on-list,15,9,TRUE,2.8
Carissa congesta,trnL,plant-candidate,on-list,9,9,TRUE,2.5
Acacia senegal,trnL,plant-candidate,on-list,27,8,TRUE,2.6
Cinnamomum cassia,trnL,plant-candidate,on-list,18,8,TRUE,2.4
Acer ginnala,trnL,plant-candidate,on-list,12,8,TRUE,3.3
Chrysanthemum morifolium,trnL,plant-candidate,on-list,45,7,TRUE,3
Citrus aurantium,trnL,plant-candidate,on-list,18,7,TRUE,2.7
Baccaurea motleyana,trnL,plant-candidate,on-list,15,7,TRUE,2.4
Coix lachryma-jobi,trnL,plant-candidate,on-list,9,7,TRUE,2.7
Pueraria montana var. lobata,trnL,plant-candidate,on-list,10,7,TRUE,2.5
Spondias cytherea,trnL,plant-candidate,on-list,8,7,TRUE,2.8
Brachiaria deflexa,trnL,plant-candidate,on-list,7,7,TRUE,2.8
Morinda officinalis,trnL,plant-candidate,on-list,7,7,TRUE,2.7
Citrus paradisi,trnL,plant-candidate,on-list,19,6,TRUE,2.7
Sida rhombifolia,trnL,plant-candidate,on-list,6,6,TRUE,2.6
Wasabia japonica,trnL,plant-candidate,on-list,43,5,TRUE,2.5
Cleome gynandra,trnL,plant-candidate,on-list,9,5,TRUE,2.6
Iris x germanica,trnL,plant-candidate,on-list,7,5,TRUE,3
Physalis alkekengi,trnL,plant-candidate,on-list,5,4,TRUE,2.8
Pseudocydonia sinensis,trnL,plant-candidate,on-list,4,4,TRUE,3.1
Curcuma zanthorrhiza,trnL,plant-candidate,on-list,5,4,TRUE,2.7
Hyptis suaveolens,trnL,plant-candidate,on-list,5,4,TRUE,2.7
Psidium cattleianum,trnL,plant-candidate,on-list,5,4,TRUE,2.3
Plectranthus amboinicus,trnL,plant-candidate,on-list,4,4,TRUE,3
Sesamum radiatum,trnL,plant-candidate,on-list,4,4,TRUE,2.6
Fragaria ananassa,trnL,plant-candidate,on-list,9,3,TRUE,2.5
Citrus x limonia,trnL,plant-candidate,on-list,8,3,TRUE,2.8
Yucca gigantea,trnL,plant-candidate,on-list,7,3,TRUE,2.3
Baccaurea edulis,trnL,plant-candidate,on-list,6,3,TRUE,2.4
Tetragonia tetragonioides,trnL,plant-candidate,on-list,5,3,TRUE,2.6
Triticum boeoticum,trnL,plant-candidate,on-list,5,3,TRUE,2.4
Triticum monococcum subsp. aegilopoides,trnL,plant-candidate,on-list,5,3,TRUE,2.7
Abutilon indicum,trnL,plant-candidate,on-list,4,3,TRUE,2.3
Plantago arenaria,trnL,plant-candidate,on-list,4,3,TRUE,2.5
Brassica juncea var. juncea,trnL,plant-candidate,on-list,3,3,TRUE,2.4
Cheilocostus speciosus,trnL,plant-candidate,on-list,3,3,TRUE,2.6
Myrica rubra,trnL,plant-candidate,on-list,3,3,TRUE,2.5
Paeonia x suffruticosa,trnL,plant-candidate,on-list,3,3,TRUE,3.7
