marker,scientific_name,ncbi_hits
12S,Siluriformes,3540
12S,Cetacea,3146
12S,Clupeidae,1758
12S,Serranidae,1576
12S,Epinephelinae,1419
12S,Scaridae,1361
12S,Delphinidae,1218
12S,Rajidae,764
12S,Decapodiformes,592
12S,Astacoidea,568
12S,Lutjanidae,566
12S,Tetraodontidae,511
12S,Pinnipedia,487
12S,Mugilidae,456
12S,Dytiscidae,454
12S,Parastacoidea,448
12S,Pectinidae,433
12S,Engraulidae,432
12S,Gadus,410
12S,Channidae,370
12S,Xanthidae,361
12S,Sprattus,351
12S,Cicadidae,313
12S,Holothuroidea,307
12S,Octopoda,287
12S,Alosinae,231
12S,Galatheoidea,210
trnL,Mentha,204
12S,Petromyzontiformes,201
12S,Sepiida,190
12S,Coregonus,178
12S,Ostreoidea,166
12S,Anas,162
12S,Soleidae,162
12S,Artemia,156
12S,Takifugu,139
trnL,Fragaria,135
12S,Sylvilagus,130
12S,Osmeridae,120
12S,Meleagris,119
12S,Siganus,117
12S,Lagocephalus,113
12S,Sphyraena,109
12S,Latidae,107
12S,Exocoetidae,103
12S,Stromateidae,92
12S,Merlucciidae,89
12S,Panopeidae,81
12S,Trachinotus,66
12S,Esox,61
12S,Scylla,56
12S,Squalidae,51
12S,Bramidae,48
12S,Malacanthidae,48
12S,Strombidae,43
12S,Citharichthys,42
12S,Sphoeroides,42
12S,Phycidae,40
12S,Lithodidae,38
12S,Lophius,38
12S,Cardiidae,25
12S,Diodon,24
12S,Hippoidea,19
trnL,Gelidium,18
12S,Platanistidae,15
trnL,Gracilaria,14
12S,Iniidae,12
12S,Chirostyloidea,11
12S,Gryllus,11
12S,Chionoecetes,10
trnL,Gurania,7
trnL,Xanthosoma,7
trnL,Eucheuma,6
12S,Nautilus,1
12S,Medusozoa,0
12S,Nematognathi,0
12S,Selachimorpha,0
