scientific_name,marker,ncbi_hits,common_name,source
Acanthistius brasilianus,12,0,sea bass,"FDA The Seafood List, 2023/07/21"
Acanthocardia aculeata,12,0,cockle,"FDA The Seafood List, 2023/07/21"
Acanthocardia tuberculata,12,0,cockle,"FDA The Seafood List, 2023/07/21"
Ailichthys punctatus,12,0,kajuli,"FDA The Seafood List, 2023/07/21"
Alectis indicus,12,0,jack,"FDA The Seafood List, 2023/07/21"
Allothunnus fallai,12,0,tuna,"FDA The Seafood List, 2023/07/21"
Alosa agone,12,0,shad,"FDA The Seafood List, 2023/07/21"
Ameiurus platycephalus,12,0,bullhead,"FDA The Seafood List, 2023/07/21"
Amphilophus alfari,12,0,cichlid,"FDA The Seafood List, 2023/07/21"
Amphilophus longimanus,12,0,cichlid,"FDA The Seafood List, 2023/07/21"
Anacridium melanorhodon melanorhodon,12,0,tree locust,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Anadara baughmani,12,0,arkshell,"FDA The Seafood List, 2023/07/21"
Anadara subcrenata,12,0,arkshell,"FDA The Seafood List, 2023/07/21"
Anaphe panda,12,0,silk worm,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Anchoa compressa,12,0,anchovy,"FDA The Seafood List, 2023/07/21"
Anchoviella perfasciata,12,0,anchovy,"FDA The Seafood List, 2023/07/21"
Anisotremus davidsonii,12,0,grunt,"FDA The Seafood List, 2023/07/21"
Anisotremus taeniatus,12,0,grunt,"FDA The Seafood List, 2023/07/21"
Apsilus fuscus,12,0,snapper,"FDA The Seafood List, 2023/07/21"
Arca imbricata,12,0,arkshell,"FDA The Seafood List, 2023/07/21"
Arca noae,12,0,arkshell,"FDA The Seafood List, 2023/07/21"
Arca zebra,12,0,arkshell,"FDA The Seafood List, 2023/07/21"
Arctogadus borisovi,12,0,cod,"FDA The Seafood List, 2023/07/21"
Ardeotis australis,12,0,australian bustard,"Newton, ""The Oldest Foods on Earth"""
Argentina elongata,12,0,argentine,"FDA The Seafood List, 2023/07/21"
Argopecten aequisulcatus,12,0,scallop,"FDA The Seafood List, 2023/07/21"
Argopecten lineolaris,12,0,scallop,"FDA The Seafood List, 2023/07/21"
Arnoglossus scapha,12,0,flounder,"FDA The Seafood List, 2023/07/21"
Aspongopus nepalensis,12,0,stink bug,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Atrina serrata,12,0,penshell,"FDA The Seafood List, 2023/07/21"
Aulacomya ater,12,0,mussel,"FDA The Seafood List, 2023/07/21"
Austrovenus stutchburyi,12,0,venus clam,"FDA The Seafood List, 2023/07/21"
Barbatia cancellaria,12,0,arkshell,"FDA The Seafood List, 2023/07/21"
Basilichthys australis,12,0,silverside,"FDA The Seafood List, 2023/07/21"
Bathycongrus aequoreus,12,0,conger eel,"FDA The Seafood List, 2023/07/21"
Bathyraja trachura,12,0,skate,"FDA The Seafood List, 2023/07/21"
