scientific_name,marker,ncbi_hits,common_name,source
Abutilon megapotamicum,trnL,0,trailing abutilon,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Acacia pennata,trnL,0,cha-om,BP
Acmella oleracea,trnL,0,toothache plant,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Aframomum laurentii,trnL,0,bongongoo,BP
Agathosma betulina,trnL,0,buchu,"van Wyk, ""Food Plants of the World"""
Allium cepa var. aggregatum,trnL,0,shallot,BP
Aloe cooperi,trnL,0,cooper's aloe,"Peters, ""Edible Wild Plants of Subsaharan Africa"""
Alpinia conchigera,trnL,0,lesser alpinia,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Alpinia globosa,trnL,0,round chinese cardamom,Milla 2020 Crop Origins
Alpinia latilabris,trnL,0,shell ginger,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Ammi majus,trnL,0,bishops weed,Milla 2020 Crop Origins
Amomum aromaticum,trnL,0,nepal cardamon,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Amomum compactum,trnL,0,round cardamom,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Amomum longiligulare,trnL,0,hainan amomum,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Amomum verum,trnL,0,cambodian cardamom,Milla 2020 Crop Origins
Ancylobothrys petersiana,trnL,0,climbing milk-apricot,"Peters, ""Edible Wild Plants of Subsaharan Africa"""
Aneilema aequinoctiale,trnL,0,clinging aneilema,"Peters, ""Edible Wild Plants of Subsaharan Africa"""
Angelica japonica,trnL,0,ma qing,Milla 2020 Crop Origins
Annona diversifolia,trnL,0,ilama,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Annona scleroderma,trnL,0,cawesh,Milla 2020 Crop Origins
Anonidium mannii,trnL,0,bobo,BP
Anredera baselloides,trnL,0,anredera genus,Milla 2020 Crop Origins
Apium carvi,trnL,0,caraway,Milla 2020 Crop Origins
Arachis villosulicarpa,trnL,0,perennial peanut,Milla 2020 Crop Origins
Archidendron bigeminum,trnL,0,kalitiya,Milla 2020 Crop Origins
Archidendron bubalinum,trnL,0,kerdas,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Archidendron jiringa,trnL,0,djenkol tree,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Baccaurea racemosa,trnL,0,kapundung,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Bactris guineensis,trnL,0,prickly pole,Blancke 2016
Bambusa horsfieldii,trnL,0,bambu napap,Milla 2020 Crop Origins
Banksia integrifolia,trnL,0,coast banksia,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Barringtonia novae-hiberniae,trnL,0,pau nut,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Barringtonia procera,trnL,0,pau nut,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Barringtonia scortechinii,trnL,0,putat,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Begonia x tuberhybrida,trnL,0,tuberous begonia,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Beta palonga,trnL,0,beta genus,Milla 2020 Crop Origins
Beta vulgaris subsp. cicla,trnL,0,chard,"van Wyk, ""Food Plants of the World"""
Billardiera scandens,trnL,0,apple berry,"Newton, ""The Oldest Foods on Earth"""
Brachiaria ramosa,trnL,0,browntop millet,"Peters, ""Edible Wild Plants of Subsaharan Africa"""
Brassica juncea var. rugosa,trnL,0,mustard greens,"van Wyk, ""Food Plants of the World"""
Brassica napobrassica,trnL,0,rutabaga,JL
Brassica oleracea var. botrytis x italica,trnL,0,broccoflower,BP
Brassica oleracea var. capitata f. acuta,trnL,0,cone cabbage,BP
Brassica oleracea var. capitata f. rubra,trnL,0,red cabbage,BP
