scientific_name,marker,ncbi_hits
"Acanthistius brasilianus",12S,0
"Acanthocardia aculeata",12S,0
"Acanthocardia tuberculata",12S,0
"Aetobatus narinari",12S,3
"Ailichthys punctatus",12S,0
"Alectis indicus",12S,0
"Aliger gigas",12S,3
"Allosmerus elongatus",12S,4
"Allothunnus fallai",12S,0
"Alosa agone",12S,0
"Alosa alosa",12S,5
"Alosinae",12S,231
"Alphitobius diaperinus",12S,4
"Ambloplites cavifrons",12S,1
"Ameiurus platycephalus",12S,0
"Ammodytes americanus",12S,3
"Amphilophus alfari",12S,0
"Amphilophus longimanus",12S,0
"Amphioctopus fangsiao",12S,21
"Amusium japonicum",12S,3
"Amusium papyraceum",12S,1
"Amusium pleuronectes",12S,18
"Anacridium melanorhodon melanorhodon",12S,0
"Anadara baughmani",12S,0
"Anadara subcrenata",12S,0
"Anaphe panda",12S,0
"Anas",12S,162
"Anchoa compressa",12S,0
"Anchoviella perfasciata",12S,0
"Anisotremus davidsonii",12S,0
"Anisotremus interruptus",12S,3
"Anisotremus taeniatus",12S,0
"Apis cerana",12S,28
"Apis dorsata",12S,4
"Apis mellifera",12S,218
"Apocryptes bato",12S,3
"Apostichopus japonicus",12S,19
"Apsilus dentatus",12S,1
"Apsilus fuscus",12S,0
"Arca granosa",12S,5
"Arca imbricata",12S,0
"Arca noae",12S,0
"Arca zebra",12S,0
"Archosargus probatocephalus",12S,18
"Arctica islandica",12S,4
"Arctogadus borisovi",12S,0
"Ardeotis australis",12S,0
"Argentina elongata",12S,0
"Argentina sphyraena",12S,1
"Argopecten aequisulcatus",12S,0
"Argopecten gibbus",12S,2
"Argopecten irradians",12S,10
"Argopecten lineolaris",12S,0
"Argopecten nucleus",12S,2
"Argopecten purpuratus",12S,10
"Argopecten ventricosus",12S,8
"Argyrosomus hololepidotus",12S,1
"Aristaeomorpha foliacea",12S,3
"Aristaeopsis edwardsiana",12S,3
"Arnoglossus scapha",12S,0
"Arripis georgianus",12S,7
"Artemia",12S,156
"Aspongopus nepalensis",12S,0
"Astacoidea",12S,568
"Atractoscion nobilis",12S,1
"Atrina pectinata",12S,4
"Atrina serrata",12S,0
"Aulacomya ater",12S,0
"Austroglossus microlepis",12S,11
"Austroglossus pectoralis",12S,8
"Austrovenus stutchburyi",12S,0
"Babylonia areolata",12S,3
"Barbatia cancellaria",12S,0
"Barbonymus schwanenfeldii",12S,6
"Basilichthys australis",12S,0
"Bathycongrus aequoreus",12S,0
"Bathynomus giganteus",12S,205
"Bathyraja trachura",12S,0
"Batocera roylei",12S,0
"Batrachoides surinamensis",12S,0
"Berryteuthis magister",12S,2
"Bodianus scrofa",12S,0
"Bombyx mori",12S,1176
"Bothus ocellatus",12S,2
"Brama australis",12S,0
"Brama brama",12S,10
"Bramidae",12S,48
"Brotula clarkae",12S,0
"Busycotypus canaliculatus",12S,1
"Busycotypus spiratus",12S,0
"Caelorinchus fasciatus",12S,1
"Calamus arctifrons",12S,1
"Calamus leucosteus",12S,0
"Callinectes amnicola",12S,0
"Callinectes arcuatus",12S,2
"Callinectes bellicosus",12S,2
"Callinectes rathbunae",12S,1
"Callinectes sapidus",12S,33
"Callinectes toxotes",12S,1
"Cancer anthonyi",12S,0
"Cancer borealis",12S,0
"Cancer irroratus",12S,0
"Cancer magister",12S,4
"Cancer pagurus",12S,2
"Cancer productus",12S,0
"Carcharhinus altimus",12S,1
"Carcharhinus isodon",12S,3
"Carcharhinus porosus",12S,11
"Carcharhinus signatus",12S,1
"Carcinus aestuari",12S,0
"Carcinus maenas",12S,4
"Cardiidae",12S,25
"Cardisoma armatum",12S,2
