Feature ID	Taxon
AY700248.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Abalistes;Abalistes stellatus;NA;NA;NA
KC894466.1	Eukaryota;Chordata;Actinopteri;Cypriniformes;Leuciscidae;Abramis;Abramis brama;Abramis brama orientalis;NA;NA
NC_085738.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf saxatilis;NA;NA;NA
FJ616294.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf septemfasciatus;NA;NA;NA
LC589608.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf septemfasciatus;NA;NA;NA
AF436879.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf sordidus;NA;NA;NA
FJ616296.1	Eukaryota;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;Abudefduf sordidus;NA;NA;NA
NC_067731.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;Acanthocybium solandri;NA;NA;NA
PP032949.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Acanthocybium;Acanthocybium solandri;NA;NA;NA
JQ746035.1	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Acanthopagrus;Acanthopagrus schlegelii;NA;NA;NA
AY700273.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion polygonius;NA;NA;NA
KT600930.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion polygonius;NA;NA;NA
AY700275.1	Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Ostraciidae;Acanthostracion;Acanthostracion quadricornis;NA;NA;NA
OP035106.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus achilles;NA;NA;NA
OP056937.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus chirurgus;NA;NA;NA
OP035153.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus coeruleus;NA;NA;NA
LC834802.1	Eukaryota;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;Acanthurus dussumieri;NA;NA;NA
