Feature ID	Taxon
HM851303.1	NA;Arthropoda;Malacostraca;Decapoda;Xanthidae;Chlorodiella;Chlorodiella cytherea;NA;NA;NA
KF374990.1	NA;Chordata;Actinopteri;Mugiliformes;Mugilidae;Moolgarda;Moolgarda cunnesius;NA;NA;NA
JF911717.2	NA;Chordata;Actinopteri;Mugiliformes;Mugilidae;Moolgarda;Moolgarda cunnesius;NA;NA;NA
JF911714.1	NA;Chordata;Actinopteri;Mugiliformes;Mugilidae;Squalomugil;Squalomugil nasutus;NA;NA;NA
LC720142.1	NA;Chordata;Actinopteri;Mugiliformes;Mugilidae;Osteomugil;Osteomugil engeli;NA;NA;NA
KF374991.1	NA;Chordata;Actinopteri;Mugiliformes;Mugilidae;Osteomugil;Osteomugil engeli;NA;NA;NA
KF374995.1	NA;Chordata;Actinopteri;Mugiliformes;Mugilidae;Osteomugil;Osteomugil speigleri;NA;NA;NA
NC_057260.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Plectropomus;Plectropomus laevis;NA;NA;NA
AY949376.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Hyporthodus;Hyporthodus acanthistius;NA;NA;NA
AY949352.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Plectropomus;Plectropomus leopardus;NA;NA;NA
AY949447.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Plectropomus;Plectropomus areolatus;NA;NA;NA
PZ237795.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Plectropomus;Plectropomus oligacanthus;NA;NA;NA
HM106489.1	NA;Chordata;Actinopteri;Osmeriformes;Osmeridae;Hypomesus;Hypomesus nipponensis;NA;NA;NA
Hypomesus	NA;Chordata;Actinopteri;Osmeriformes;Osmeridae;Hypomesus;Hypomesus pretiosus;NA;NA;NA
AB047553.2	NA;Chordata;Actinopteri;Osmeriformes;Plecoglossidae;Plecoglossus;Plecoglossus altivelis;NA;NA;NA
Hypomesus_1	NA;Chordata;Actinopteri;Osmeriformes;Osmeridae;Hypomesus;Hypomesus pretiosus;NA;NA;NA
AB095998.1	NA;Chordata;Actinopteri;Osmeriformes;Osmeridae;Spirinchus;Spirinchus lanceolatus;NA;NA;NA
HM106491.1	NA;Chordata;Actinopteri;Osmeriformes;Salangidae;Mallotus;Mallotus villosus;NA;NA;NA
MH238073.1	NA;Chordata;Actinopteri;Osmeriformes;Osmeridae;Osmerus;Osmerus eperlanus;NA;NA;NA
HM106493.1	NA;Chordata;Actinopteri;Osmeriformes;Osmeridae;Osmerus;Osmerus mordax;NA;NA;NA
