Feature ID	Taxon
NC_079822.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Citrus;(Citrus unshiu x Citrus sinensis) x Citrus reticulata;NA;NA;NA
NC_035234.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abelmoschus;Abelmoschus esculentus;NA;NA;NA
NC_053353.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abelmoschus;Abelmoschus manihot;NA;NA;NA
OZ461229.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abutilon;Abutilon indicum;NA;NA;NA
OZ461234.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abutilon;Abutilon indicum;NA;NA;NA
HQ696727.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abutilon;Abutilon theophrasti;NA;NA;NA
NC_053702.1	Eukaryota;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Abutilon;Abutilon theophrasti;NA;NA;NA
EU440012.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia aneura;NA;NA;NA
JF420505.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia aneura;NA;NA;NA
KC957945.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia aneura;NA;NA;NA
KF048216.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia aneura;NA;Acacia aneura var. aneura;NA
JF420494.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia cultriformis;NA;NA;NA
KC958166.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia cultriformis;NA;NA;NA
KC958259.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia cultriformis;NA;NA;NA
JF420460.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia cyclops;NA;NA;NA
KC957866.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia kempeana;NA;NA;NA
AF195698.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia longifolia;NA;NA;NA
KC958105.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia longifolia;Acacia longifolia subsp. longifolia;NA;NA
JF420531.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia murrayana;NA;NA;NA
KC957857.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia murrayana;NA;NA;NA
JQ248862.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia victoriae;NA;NA;NA
KC958213.1	Eukaryota;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Acacia;Acacia victoriae;Acacia victoriae subsp. arida;NA;NA
DQ099921.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Acanthocereus;Acanthocereus tetragonus;NA;NA;NA
HM041223.1	Eukaryota;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Acanthocereus;Acanthocereus tetragonus;NA;NA;NA
NC_087602.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer caudatum;NA;NA;NA
DQ978524.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer caudatum;Acer caudatum subsp. multiserratum;NA;NA
NC_056205.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer circinatum;NA;NA;NA
NC_056209.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer distylum;NA;NA;NA
NC_056212.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer grandidentatum;NA;NA;NA
NC_056217.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer macrophyllum;NA;NA;NA
NC_051957.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer negundo;NA;NA;NA
NC_056224.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer pensylvanicum;NA;NA;NA
HQ323814.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer pseudoplatanus;NA;NA;NA
NC_087587.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer pseudoplatanus;NA;NA;NA
AF401182.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer rubrum;NA;NA;NA
NC_056228.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharinum;NA;NA;NA
AF401173.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharum;NA;NA;NA
EU721272.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharum;NA;NA;NA
NC_051960.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharum;NA;NA;NA
DQ989582.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharum;Acer saccharum subsp. leucoderme;NA;NA
DQ978560.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer saccharum;Acer saccharum subsp. nigrum;NA;NA
AF401195.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer spicatum;NA;NA;NA
AF401196.1	Eukaryota;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Acer;Acer tataricum;Acer tataricum subsp. ginnala;NA;NA
AY603266.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;NA;NA;NA
HQ323815.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;NA;NA;NA
KP208325.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;NA;NA;NA
NC_062413.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;NA;NA;NA
EU129015.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. borealis;NA;NA
AY603281.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. ceretanica;NA;NA
AY603267.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. sudetica;NA;NA
AY603286.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. alpicola;NA
EU129001.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. arenicola;NA
EU129021.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. californica;NA
EU129025.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. gigantea;NA
EU129027.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. lanulosa;NA
EU129041.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. litoralis;NA
EU128989.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. millefolium;NA
EU129061.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. pacifica;NA
EU129075.1	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Achillea;Achillea millefolium;Achillea millefolium subsp. millefolium;Achillea millefolium var. puberula;NA
NC_037084.1	Eukaryota;Streptophyta;Magnoliopsida;Arecales;Arecaceae;Acrocomia;Acrocomia aculeata;NA;NA;NA
JN102166.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia arguta;NA;NA;NA
NC_034913.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia arguta;NA;NA;NA
LC568625.1	Eukaryota;Streptophyta;Magnoliopsida;Ericales;Actinidiaceae;Actinidia;Actinidia arguta;NA;Actinidia arguta var. arguta;NA
